AGL6	AGAMOUS-like 13 (AGL13);AGAMOUS-like 6 (AGL6);SEPALLATA 2 (SEP2);SEPALLATA3 (SEP3)	OsMADS17, MADS17, NMADS3, RMADS213, nmads3;OsMADS1, LHS, lhs1, lhs, lhs2, op, nsr, MADS1, LHS1/OsMADS1, Lhs1, AFO, OsLHS1, OsLG3b, LG3b, qLGY3, LGY3, DLN80, OsDLN80, OLR, OsOLR, GW3p6, OsGW3p6, OsMADS1GW3p6, MADS1GW3p6, qLGY3/OsLG3b/GW3p6;OsMADS24, MADS8, OsMADS8, OsMADS8/24;OsMADS6, MADS6, OsMFO1;OsMADS7, OsMADS45, FDRMADS1, RMADS216, AGL6, M79, MADS45, Os MADS7, Os MADS45, OsMADS7/45
LOC101761554	plasma membrane intrinsic protein 2;plasma membrane intrinsic protein 2A (PIP2A);plasma membrane intrinsic protein 2 (PIP2B)	OsPIP2;2, PIP2-2, OsPIP2-3;OsPIP2;3, PIP2-3, OsPIP2-2;OsPIP2;4, PIP2.4, PIP2-4, OsPIP2-4;OsPIP2;5, PIP2-5
LOC101761555	myb domain protein 18 (MYB18);myb domain protein 19 (MYB19);myb domain protein 45 (MYB45);myb domain protein 55 (MYB55);myb domain protein 86 (MYB86)	Os2R_MYB21, MYB2-24, OsMYB2-24;Os2R_MYB70, MYB2-83, OsMYB2-83;R2R3-MYB, Os2R_MYB47, MYB2-54, OsMYB2-54;R2R3-MYB, OsMYB21, Os2R_MYB27, 2R_MYB27, MYB2-30, OsMYB2-30
LOC101761556	Protein of unknown function (DUF1191)	
LOC101761557	Di-glucose binding protein with Leucine-rich repeat domain;Leucine-rich repeat protein kinase family protein;receptor like protein 4 (RLP4)	OsMRLP5;OsMRLP7;OsMRLP9;PLRRP, OsMRLP1
LOC101761558	Protein kinase superfamily protein	OsDPK1, DPK1, MKKK32, OsMKKK32, MAPKKK32;OsDPK2, stk;OsDPK3;OsDPK4
LOC101761559	Galactose oxidase/kelch repeat superfamily protein	OsFBK12, OsFbox130, Os_F0642, OsFBK12, FBK12;OsFbox109, Os_F0628, OsFBK10, FBK10;OsFbox232, Os_F0576, Ctb1, OsCtb1, OsFBK15, FBK15
LOC101761560	Ribosomal protein S3Ae	cyc07, T151, OsNAL21, OsRPS3A, RPS3A, RPS3aA, OsRPS3aA;RPS3aB, OsRPS3aB;RPS3a, Os RPS3a, RPS3aC, OsRPS3aC
LOC101761561	NRPB9A;NRPB9B	SDRP
LOC101761562	Leucine-rich receptor-like protein kinase family protein;Leucine-rich repeat protein kinase family protein	OsGHR1
LOC101761563	AT-HSFB2B;heat shock factor 4 (HSF4);heat shock transcription factor  B2A (HSFB2A);heat shock transcription factor B3 (HSFB3);heat shock transcription factor  B4 (HSFB4)	HSfB2b, OsHsfB2b, OsHsf-21, rHsf2, HSF2, HSF21, OsHSF21, OsHSF7;HSfB2c, OsHsfB2c, OsHsf-24, HSF24, OsHSF24;HSFB4b, OsHSFB4b, OsHsf-19, OsHSF19, rHsf12, OsHSF12, HSF12, HSF19;HSfB4c, OsHsfB4c, OsHsf-22, HSF22, OsHSF22;OsHsfB4d, HSfB4d, OsHsf-10, HSF10, OsHSF10
LOC101761564	unknown protein	
LOC101761566	BPM3;BTB-POZ and MATH domain 1 (BPM1);BTB-POZ and MATH domain 2 (BPM2)	OsMB40, MB40, OsMBTB33, MBTB33;OsMB48, MB48;OsMB52, MB52, OsMBTB64, MBTB64;OsMBTB37
LOC101761570	O-acetylserine (thiol) lyase (OAS-TL) isoform A1 (OASA1)	OsCYSKP;RCS1, rcs1, OsOASTL-A2, OASTL-A2, OsASTOL1;rcs3, OsRCS3, OsOASTL-A1, OASTL-A1
LOC101761573	Protein of unknown function (DUF607)	
LOC101761574	Cytidine/deoxycytidylate deaminase family protein	
LOC101761575	HEAT/U-box domain-containing protein	OsRING184, RING184, OsCSIT1, OsLtn1, Ltn1
LOC101761576	cationic amino acid transporter 6 (CAT6);cationic amino acid transporter 7 (CAT7)	OsCAT5;OsCAT8;OsCAT9
LOC101761578	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	OsCYP23, OsCYP-28, OsCYP23a, OsCYP23b, OsCYP23c
LOC101761579	NON-PHOTOTROPIC HYPOCOTYL 3 (NPH3);Phototropic-responsive NPH3 family protein	cpt1, OsBTBN2, BTBN2;OsBTBN9
LOC101761580	SIT4 phosphatase-associated family protein	
LOC101761581	CONTAINS InterPro DOMAIN/s: Putative harbinger transposase-derived nuclease (InterPro:IPR006912);PIF / Ping-Pong family of plant transposases;unknown protein	OsHARBI1-1;OsHARBI1-13;OsHARBI1-15
LOC101761582	DNA glycosylase superfamily protein	AlkA
LOC101761583	Leucine-rich repeat transmembrane protein kinase protein	OsMRLK1;OsMRLK34;OsMRLK35;OsMRLK37;OsMRLK38
LOC101761584	RING 1A (RING1A);RING 1B (RING1B)	OsAIR1, OsRING172, RING172, OsPcG11, PcG11;OsRING171, OsPcG10, PcG10;OsRING447
LOC101761587	Homeodomain-like superfamily protein	
LOC101761589	YUC10;YUC11;YUCCA6 (YUC6);YUCCA 8 (YUC8)	OsYUCCA11, OsYUC11, YUC11;OsYUCCA12, OsYUC12, YUC12;OsYUCCA13, OsYUC13;OsYUCCA14, OsYUC14;OsYUCCA9, OsYUC9, YUC9
LOC101761590	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP49, HTA1, OsHTA1;OsGELP50, OsGELP50a, OsGELP50b;OsGELP54;OsGELP65;OsGELP85
LOC101761591	Nucleotidylyl transferase superfamily protein	
LOC101761592	fatty acid hydroxylase 1 (FAH1);fatty acid hydroxylase 2 (FAH2)	Os-FAH1, OsFAH1;Os-FAH2, OsFAH2
LOC101761593	ankyrin repeat family protein	
LOC101761595	Transducin/WD40 repeat-like superfamily protein	OsWD40-144, WD40-144, OsWDR5b, WDR5b, OsDWD28, DWD28;OsWD40-45, OsSGW5, SGW5;OsWD40-86, WD40-86, OsWDR5a, WDR5a, OsWDR5, WDR5, OsDWD41, DWD41
LOC101761596	INFLORESCENCE GROWTH INHIBITOR 1 (IGI1);Protein kinase superfamily protein	OsPERK1;OsPERK2;OsPERK3;OsPERK8
LOC101761597	RING/U-box superfamily protein	OsRDCP3, OsRING166, RING166;OsRDCP4, OsRING165, RING165;OsRDCP5, OsRING417, RING417
LOC101761598	CHLORORESPIRATORY REDUCTION22 (CRR22);DEFECTIVELY ORGANIZED TRIBUTARIES 4 (DOT4);embryo defective 2758 (EMB2758);pentatricopeptide (PPR) repeat-containing protein	OsPPR16
LOC101761603	Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNase H family protein	
LOC101761605	NFU domain protein 4 (NFU4);NFU domain protein 5 (NFU5)	OsISC15
LOC101761606	Protein of unknown function (DUF3414)	
LOC101761607	Amino acid kinase family protein;aspartate/glutamate/uridylate kinase family protein	
LOC101761608	ATPRX Q	OsPrx Q, Prx Q, OsPrxQ, PrxQ, OsPrx1, OsPrx1.1, OsPrx1.2
LOC101761609	AVP1;VHP2	OsOVP2;OsOVP3;OVP1
LOC101761610	endoxyloglucan transferase A3 (EXGT-A3);xyloglucan endotransglucosylase/hydrolase 28 (XTH28);xyloglucan endotransglucosylase/hydrolase 32 (XTH32);xyloglucan endo-transglycosylase-related 8 (XTR8)	OsXTH19;OsXTH20, XET32;OsXTH21;OsXTH22;OsXTH28
LOC101761611	Transmembrane amino acid transporter family protein	OsATL12;OsATL13;OsATL15;OsATL16, OsSTA21;OsATL17, OsSTA19
LOC101761612	glucose-6-phosphate dehydrogenase 1 (G6PD1);glucose-6-phosphate dehydrogenase 2 (G6PD2);glucose-6-phosphate dehydrogenase 3 (G6PD3);glucose-6-phosphate dehydrogenase 4 (G6PD4)	OsG6PDH3, OsG6PDH2;OsG6PDH4;OsG6PDH5, G6PDH5
LOC101761613	P-loop containing nucleoside triphosphate hydrolases superfamily protein	OsKCH1, KCH1, OsKCH, KCH, O12;OsKIN14M;OsPHP3, Hpt5, OsHP4, HP4, OsHpt5, OsHpt5a, OsHpt5b, OsHpt5c;OsSTA55
LOC101761614	FASCICLIN-like arabinogalactan 2 (FLA2);FASCICLIN-like arabinogalactan protein 14 precursor (FLA14);FASCICLIN-like arabinogalactan protein 3 precursor (FLA3);FASCICLIN-like arabinogalactan protein 5 precursor (FLA5);FASCICLIN-like arabinogalactan protein 8 (FLA8)	OsFLA1;OsFLA2;OsFLA20;OsFLA25
LOC101761615	DHHC-type zinc finger family protein	OsDHHC12;OsDHHC21;OsDHHC23;OsDHHC7, OsDHHC07, DHHC07;OsDLN232, OsDHHC24, DHHC24
LOC101761618	Protein of unknown function (DUF677)	
LOC101761622	H(+)-ATPase 3 (HA3);H(+)-ATPase 9 (HA9)	OSA7, OsA7, osAHA7, AHA7, PAA-Hwa, OsLMPA
LOC101761626	Leucine-rich repeat receptor-like protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain;receptor like protein 46 (RLP46);receptor like protein 52 (RLP52)	OsCLV2b
LOC101761629	C2H2-like zinc finger protein	OsZOS3-10;OsZOS4-09;OsZOS7-11
LOC101761630	abscisic acid (ABA)-deficient 4 (ABA4)	OsMHZ4, MHZ4, MHZ4/OsABA4, OsABA4
LOC101761631	chromatin remodeling 38 (CHR38);chromatin remodeling 42 (CHR42)	
LOC101761632	Histone superfamily protein;HTB1;HTB11;HTB4;HTB9	OsH2B.1;OsH2B.10;OsH2B.2;OsH2B.3;OsH2B.4
LOC101761633	maternal effect embryo arrest 40 (MEE40);Pentatricopeptide repeat (PPR) superfamily protein	OsbHLH188, bHLH188;OsPILS5, PILS5;OsPPR920, OsPPR939, PPR939
LOC101761634	unknown protein	
LOC101761636	O-Glycosyl hydrolases family 17 protein	Gns11, OsGns11, OsBGL3, BGL3;OsBG13;OsBG7
LOC101761638	cytochrome P450, family 72, subfamily A, polypeptide 11 (CYP72A11);cytochrome P450, family 72, subfamily A, polypeptide 13 (CYP72A13);cytochrome P450, family 72, subfamily A, polypeptide 14 (CYP72A14);cytochrome P450, family 72, subfamily A, polypeptide 15 (CYP72A15)	CYP72A1, OsCYP72A1;OsCYP72A18
LOC101761639	sulfotransferase 16 (SOT16);sulfotransferase 2A (ST2A);sulfotransferase 2B (ST2B)	
LOC101761640	RING/FYVE/PHD zinc finger superfamily protein	OsRFPV-1, OsRING102, RING102;OsRING309;OsRING418;OsRING5
LOC101761641	AAA-type ATPase family protein;STICHEL (STI)	
LOC101761642	RING-H2 finger C1A (RHC1A);RING/U-box superfamily protein	OsRFPH2-12, OsRING176, RING176, OsC3HC4_011, C3HC4_011;OsRFP, OsRING177, OsC3HC4_035, C3HC4_035;OsRING249, OsC3HC4_024, C3HC4_024;OsRING336
LOC101761643	BTB/POZ/Kelch-associated protein;POZ/BTB containin G-protein 1 (POB1)	OsE1-BTB1;OsE1-BTB2
LOC101761644	Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein	OsTAPE
LOC101761645	RHOMBOID-like protein 13 (RBL13)	OsRhmbd5
LOC101761646	binding	
LOC101761647	Prefoldin chaperone subunit family protein	
LOC101761649	early nodulin-like protein 1 (ENODL1);early nodulin-like protein 2 (ENODL2);early nodulin-like protein 3 (ENODL3);early nodulin-like protein 9 (ENODL9)	OsENODL16;OsENODL18, OsELA3, ELA3, EN20, OsEN20;OsENODL5;OsENODL6, OsELA2, ELA2, OsEnS-24;OsENODL9
LOC101761650		OsDICE2, OsLKRT1, LKRT1
LOC101761654	AT-HSFA5;heat shock factor 3 (HSF3);heat shock transcription factor A1E (HSFA1E);heat shock transcription factor A2 (HSFA2)	HSfA2b, OsHsfA2b, OsHsf-18, rHsf5, HS1, HSF18, OsHSF18, HSF5, OsHSF5;HSfA2c, OsHsfA2c, OsHsf-25, rHsf6, OsHSF6, HSF25, OsHSF25, HSF6, OsHsfA6a, HsfA6a;HSfA2e, OsHsfA2e, OsHsf-12, OsHSF12, HSF12, OsHsfA2a, HsfA2a;HSfA5, OsHsfA5, OsHsf-06, HSF06, OsHSF6, HSF6;OsHsfA1, HsfA1, OsHSF13, HSF13, OsHsf-13, HSF3, rHsf3, OsHsfA1a
LOC101761659	RING-box 1 (RBX1);RING/U-box superfamily protein	OsRBX1a, RBX1a, OsRING442, RING442;OsRBX1b, RBX1b, OsRING441, RING441
LOC101761660	Transducin/WD40 repeat-like superfamily protein	SRWD1, OsWD40-162, OsDWD57, DWD57;SRWD2, OsWD40-52
LOC101761661	FLOWERING LOCUS D (FLD);LSD1-like2 (LDL2)	OsHDMA701, HDMA701, OsPAO9, PAO9;OsHDMA702, HDMA702, OsPAO8, PAO8;OsHDMA703, HDMA703, OsPAO10, PAO10;OsHDMA704, HDMA704, OsPAO11, PAO11;OsPAO4, OsAO1, AO1
LOC101761664	Alcohol dehydrogenase transcription factor Myb/SANT-like family protein;Homeodomain-like superfamily protein	OsMSL31
LOC101761666	DHBP synthase RibB-like alpha/beta domain	
LOC101761667	HYDROXYMETHYLGLUTARYL-COA SYNTHASE (HMGS);MVA1	OsHMGS1;OsHMGS2;OsHMGS3
LOC101761672	1-deoxy-D-xylulose 5-phosphate synthase 1 (DXPS1);1-deoxy-D-xylulose 5-phosphate synthase 3 (DXPS3);CLOROPLASTOS ALTERADOS 1 (CLA1)	CLA1, OsDXS1, dxs1, OsDXS, DXS, OsTKL1, TKL1;OsDXS2, dxs2;OsDXS, OsDXS3, dxs3, DXS2, OsDXS2
LOC101761675	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;DEFECTIVE IN INDUCED RESISTANCE 1 (DIR1)	OsLTPd3, OsLtpIV.3
LOC101761677	nuclear RNA polymerase D1B (NRPD1B);Protein of unknown function (DUF3223)	Cen8.t00793, OsDCL;OsNRPE1, OsFEM3, FEM3
LOC101761678	Membrane fusion protein Use1	
LOC101761679	centroradialis (ATC);FLOWERING LOCUS T (FT);PEBP (phosphatidylethanolamine-binding protein) family protein;TERMINAL FLOWER 1 (TFL1)	Hd3a, FT, qHD3(t)*, FT-L 2, OsFTL2, FT-L2, FTL2, OsHd3a;Rcn1, FDR2, Fdr2, RCN1/FDR2, OsRCN1;Rcn2, OsRCN2;Rcn3, OsRCN3, RCN3/FDR1, FDR1, Fdr1, OsFDR1;Rcn4, OsRCN4
LOC101761680	FORMS APLOID AND BINUCLEATE CELLS 1A (FAB1A);FORMS APLOID AND BINUCLEATE CELLS 1B (FAB1B);FORMS APLOID AND BINUCLEATE CELLS 1C (FAB1C)	OsFYVE06, FYVE06, OsFYVE6;OsFYVE19
LOC101761683	Major facilitator superfamily protein;sugar transporter protein 7 (STP7)	OsMST1, OsSTP1, STP1;OsSTP10;OsSTP15;OsSTP16;OsSTP18
LOC101761684	alpha-amylase-like 2 (AMY2);alpha-amylase-like 3 (AMY3);alpha-amylase-like (AMY1)	Amy3A/B/C*(RAmy3A/B/C), Amy3A, RAmy3A/B/C, Amy3A/B/C*, AMY1.2, Amy5, RAmy3A, OsEnS-129;Amy3A/B/C*(RAmy3A/B/C), AmyII-6, AMY1.7, Amy3C, RAmy3A/B/C, Amy3A/B/C*, Amy7, AMY3B, RAmy3C, OsAmy3B;Amy3D/E*(RAmy3D/E), alpha Amy3, AmyII-4, AMY1.3, Amy3D, Amy3D/E*, RAmy3D/E, Amy3D_E, Amy8, aAmy3, RAmy3D, OsAmy3D, alphaAmy3, OsRamy3D;Amy3D/E*(RAmy3D/E), alpha Amy8, alphaAmy8, AmyII-3, AMY1.4, Amy3E, Amy3D/E*, RAmy3D/E, Amy9, RAmy3E, alphaAmy8-C, AMY3E/AMY1.4, OsAmy3E, OsRamy3E, RAmy3E
LOC101761685	18S pre-ribosomal assembly protein gar2-related	
LOC101761686	glucose-6-phosphate acetyltransferase 1 (GNA1)	OsGNA1, HAG722, OsHAG722;OsHAG719
LOC101761687	FUNCTIONS IN: molecular_function unknown;LOW PSII ACCUMULATION1 (LPA1)	
LOC101761688	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein	
LOC101761689	FUNCTIONS IN: vacuolar sorting signal binding;Protein of unknown function (DUF59)	
LOC101761690	Protein of unknown function, DUF538	
LOC101761691	cold shock domain protein 1 (CSDP1);cold shock domain protein 3 (CSP3);glycine-rich protein 2B (GRP2B)	OsCSP1
LOC101761692	BEST Arabidopsis thaliana protein match is: BTB/POZ domain-containing protein (TAIR:AT1G63850.1);BTB/POZ domain-containing protein;PRLI-interacting factor, putative	OsH-BTB2;OsH-BTB3;OsH-BTB6;OsH-BTB8;OsH-BTB9
LOC101761694	Calcium-dependent lipid-binding (CaLB domain) family protein	OsC2DP4;OsC2DP42;OsC2DP67;OsC2DP68
LOC101761696	natural resistance-associated macrophage protein 1 (NRAMP1);natural resistance associated macrophage protein 4 (NRAMP4);NRAMP metal ion transporter 2 (NRAMP2);NRAMP metal ion transporter 6 (NRAMP6)	NRAMP5, OsNRAMP5, OsNramp5, OsLCD1, NRAM5, OsNRAM5;OsNramp1, OsNRAMP1, OsNramp6;OsNramp3, OsNRAMP3;OsNRAMP4, Nrat1, Nramp6, OsNRAT1, NRAT1, FCO5
LOC101761697	Thioesterase superfamily protein	
LOC101761699	FUNCTIONS IN: molecular_function unknown;Protein of unknown function, DUF642	
LOC101761703	ATAF1;ATAF2;NAC domain containing protein 102 (NAC102);NAC domain containing protein 32 (NAC032)	ONAC010, ONAC10, OsSTA199, OsNAC3, NAC3;ONAC088, ONAC88, OsNAC52, NAC52;OsNAC4, NAC68, ONAC068, OnNAC4*, OnNAC4, OsNAC4/ONAC068;OsNAC5, NAC71, ONAC071, ONAC009, ONAC9, ONAC020, ONAC20, OnNAC5*, OnNAC5, OsNAC5/ONAC009;OsNAC6, ONAC048, NAC48, SNAC2, SNAC2/OsNAC6, OsNAC6/ONAC048, OsSNAC2, SNAC-2, OsSNAC-2, OsNAC2
LOC101761704	Eukaryotic protein of unknown function (DUF842)	
LOC101761705	E3 ubiquitin ligase SCF complex subunit SKP1/ASK1 family protein;SKP1-like 11 (SK11);SKP1-like 3 (SK3);SKP1-like 4 (SK4);S phase kinase-associated protein 1 (SKP1)	OSK15, OsSK15;OSK16;OSK6, OsSK6;SKP1, OsSKP1;SKP20, OsSKP20
LOC101761706	L-tyrosine decarboxylase (TYRDC);Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	OsTDC2, OsTDC3;OsTDC2, TDC2;OsTDC6;OsTDC7;TyDC, OsTyDC, OsTYDC, TDC, OsTDC3, TDC3, OsTDC1
LOC101761707	domains rearranged methylase 1 (DRM1);domains rearranged methyltransferase 2 (DRM2);S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	OsDRM1a;OsDRM1b;OsDRM2, osdrm2, DRM2-1;OsDRM3, DRM2-2
LOC101761708	retinoblastoma-related 1 (RBR1)	Orysa;Rb1, OsRBR1, RBR1, OsRBR2, RBR2;Orysa;Rb2, RBR2, OsRBR1, RBR1, OsPIS1, RB2, OsRB2, RB1, OsRB1
LOC101761709	ATMYB48-2;myb domain protein 48 (MYB48);myb domain protein 59 (MYB59)	OsMYB48, OsMYB48-1, OsMYB48-2, OsMYB59, MYB59, Os2R_MYB19, 2R_MYB19, MYB2-21, OsMYB2-21;OsMYBAS1, Os2R_MYB92, 2R_MYB92, MYB2-110, OsMYB2-110;R2R3-MYB, MYB48/59, OsMYB48/59, Os2R_MYB98, 2R_MYB98, MYB2-116, OsMYB2-116
LOC101761710	MINICHROMOSOME MAINTENANCE 4 (MCM4);MINICHROMOSOME MAINTENANCE 6 (MCM6);PROLIFERA (PRL)	OsMCM4;OsMCM5;OsMCM6;OsMCM7
LOC101761711	calcium-dependent protein kinase 14 (CPK14);calcium-dependent protein kinase 19 (CDPK19);calcium-dependent protein kinase 32 (CPK32);calmodulin-domain protein kinase 7 (CPK7)	OsCDPK16, OsCPK16, CPK16;OsCDPK20, OsCPK20, CPK20;OsCDPK29, OsCPK29;OsCDPK3, OsCPK3, CPK3;OsCDPK8, OsCPK8
LOC101761712	FUNCTIONS IN: molecular_function unknown;Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	OsNHL1;OsNHL33;OsNHL4
LOC101761713	Pectin lyase-like superfamily protein	OsPGL27;OsPGL28, PGL28;OsPGL33, PGL33;OsPGL34, PGL34
LOC101761714	nicotinamidase 1 (NIC1)	OsNIC
LOC101761715	PLAC8 family protein	
LOC101761717	Mannose-binding lectin superfamily protein	OsJRL04, JRL04, OsJRL4;OsJRL11, OsJRL9, JRL9;OsJRL14
LOC101761718	cysteine-rich RLK (RECEPTOR-like protein kinase) 10 (CRK10);cysteine-rich RLK (RECEPTOR-like protein kinase) 12 (CRK12);cysteine-rich RLK (RECEPTOR-like protein kinase) 15 (CRK15);cysteine-rich RLK (RECEPTOR-like protein kinase) 7 (CRK7)	OsRLCK144;OsRLCK295;OsRLCK336, OsJRL22, JRL22;OsRLCK337
LOC101761721	RADIAL SWELLING 10 (RSW10);ribose-5-phosphate isomerase 2 (RPI2);Ribose 5-phosphate isomerase, type A protein	OsRPI, RPI
LOC101761722	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP97, OsGELP97a, OsGELP97b;OsGELP98, OsGELP98a, OsGELP98b;OsGELP99
LOC101761724	unknown protein	
LOC101761725	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	OsNHL35;OsNHL65;OsNHL69;OsNHL76
LOC101761727	Plant protein of unknown function (DUF827)	BIP134, OsBIP134
LOC101761730	Nucleotide-diphospho-sugar transferases superfamily protein	
LOC101761732	Protein of unknown function, DUF593	SIP8
LOC101761733	Protein prenylyltransferase superfamily protein	
LOC101761734	RING/U-box superfamily protein	OsFbox641, Os_F0319, OsFBO23, FBO23;OsRING173, OsC3HC4_038, C3HC4_038;OsRING174;OsRING409;OsRING96
LOC101761735	Alpha-helical ferredoxin	
LOC101761737	TSPO(outer membrane tryptophan-rich sensory protein)-related (TSPO)	OsTSPO
LOC101761740	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	
LOC101761741	Protein kinase superfamily protein	OsCDKF;2
LOC101761743	ENTH/VHS/GAT family protein;Target of Myb protein 1	
LOC101761744	ARABIDOPSIS THALIANA BETA-AMYLASE (ATBETA-AMY);beta-amylase 1 (BAM1);beta-amylase 5 (BAM5);chloroplast beta-amylase (CT-BMY)	OsBamy2, Bamy2, OsBmy3, Bmy3, OsBMY4, BMY4, OsBAM3, BAM3;OsBamy4, Bamy4, OsBAM4, BAM4;OsBMY2, OsBmy6, Bmy6;OsBMY6, BAM3, OsBAM3, OsBAM5, BAM5;OsSTA246, STA246, OsBamy1, Bamy1, BAM2, OsBAM2, OsBmy9, Bmy9, BMY5, OsBMY5
LOC101761745	beta expansin 6 (EXPB6);expansin B1 (EXPB1);expansin B2 (EXPB2);expansin B3 (EXPB3);expansin B4 (EXPB4)	OsEXPB2, OsaEXPb1.9, EXPb1.9;OsEXPB3, osaEXPb1.10, EXPb1.10;OsEXPB4, OsaEXPb1.7, EXPb1.7;OsEXPB6, osaEXPb1.8, EXPb1.8;OsEXPB7, osaEXPb1.12
LOC101761746	ATL6;carbon/nitrogen insensitive 1 (CNI1);RING/U-box superfamily protein	OsATL101, OsRING304, RING304, OsC3HC4_082, C3HC4_082;OsC3HC4_023;OsRING295, OsC3HC4_074, C3HC4_074;OsRING342, OsC3HC4_062, C3HC4_062
LOC101761747	Alanyl-tRNA synthetase (ALATS);EMBRYO DEFECTIVE 1030 (EMB1030)	
LOC101761748	unknown protein	
LOC101761749	aldehyde dehydrogenase 10A9 (ALDH10A9);aldehyde dehydrogenase 2B4 (ALDH2B4);aldehyde dehydrogenase 2B7 (ALDH2B7);aldehyde dehydrogenase 2C4 (ALDH2C4)	OsALDH2a, ALDH2a, Aldh2a, OsSTA73, OsALDH2B5, ALDH2B5;OsALDH2B1, OsALDH2b, ALDH2b
LOC101761750	basic Helix-Loop-Helix 121 (bHLH121);POPEYE (PYE)	OsbHLH1, bHLH1, OsbHLH062, bHLH062, bHLH62;OsIRO3, IRO3, OsbHLH063, bHLH063, bHLH63
LOC101761751	RING/U-box superfamily protein	HRD1, OsHrd1, Hrd1, OsMAL, OsRING9, RING9, OsC3HC4_065, C3HC4_065;OsRING10
LOC101761752	seed imbibition 1-like (SIP1);seed imbibition 1 (SIP1);seed imbibition 2 (SIP2)	Osh69, h69, OsAGA1, OsRS6, RS6;OsRS2, OsRS5, RS5;OsRS5, OsRS1, RS1;Rafs, OsRS2, RS2;Rafs, OsRS3
LOC101761755	Mitochondrial substrate carrier family protein	
LOC101761756	heavy metal atpase 2 (HMA2);heavy metal atpase 4 (HMA4)	HMA3, OsHMA3, OsHMA3a, OsHMA3n, osHMA3, OsHMP34, HMP34;OsHMA2, osHMA2, OsHMA2v;OsHMA7, osHMA4, HMA7, OsHMP12, HMP12;OsHMA8, osHMA5, HMA8, OsHMP27, HMP27
LOC101761757	3-ketoacyl-CoA synthase 17 (KCS17);3-ketoacyl-CoA synthase 4 (KCS4);3-ketoacyl-CoA synthase 5 (KCS5);3-ketoacyl-CoA synthase 6 (KCS6);3-ketoacyl-CoA synthase 9 (KCS9)	CER6/CUT1, CER6, CUT1, OsCER6, WSL4, KCS6, OsKCS6, CER6/CUT1/KCS6, OsHMS1, OsKCS8, KCS8;OsCUT5, OsKCS15, KCS15;OsKCS1, OsKCS13, KCS13
LOC101761758	alpha-xylosidase 1 (XYL1);Glycosyl hydrolases family 31  protein;RADIAL SWELLING 3 (RSW3)	ong1-3, ong1-4, OsGH, GH;ONG3, ONG2-I, ONG2-II
LOC101761760	alpha/beta-Hydrolases superfamily protein;Ribosomal protein S10p/S20e family protein	OsPOP10, POP10;RPS10, OsRPS10, rps10
LOC101761761	CVP2 like 1 (CVL1);DNAse I-like superfamily protein	
LOC101761762	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;beta HLH protein 93 (bHLH093);INDUCER OF CBF EXPRESSION 1 (ICE1);SCREAM 2 (SCRM2)	OsbHLH001, bHLH001, OsbHLH1, bHLH1, OsICE2;OsbHLH004;OsRAI1, OsbHLH003, bHLH003, bHLH3
LOC101761765	crooked neck protein, putative / cell cycle protein, putative;Tetratricopeptide repeat (TPR)-like superfamily protein	OsCRN
LOC101761766	unknown protein	
LOC101761767	HAESA (HAE);HAESA-like 1 (HSL1);Leucine-rich receptor-like protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain;receptor like protein 52 (RLP52)	OsASLRK
LOC101761768	expansin 11 (EXPA11);expansin A17 (EXPA17);expansin A1 (EXPA1)	OsEXPA18, OsEXP18, osaEXPa1.3;OsEXPA19, OsEXP19, osaEXPa1.2;OsEXPA27;OsEXPA31
LOC101761770	homologue of NAP57 (NAP57)	OsSTA131, OsTruB3, TruB3;OsTruB1, TruB1;OsTruB2, TruB2;OsTruB4, TruB4
LOC101761773	RESURRECTION1 (RST1)	
LOC101761774	MAR binding filament-like protein 1 (MFP1)	
LOC101761776	Mitochondrial substrate carrier family protein	
LOC101761777	C2H2 and C2HC zinc fingers superfamily protein;zinc finger protein 6 (ZFP6)	OsZOS1-08
