HORVU.MOREX.r3.1HG0000040	peroxin 14 (PEX14)	OsPex14, OsPex14p, OsPEX14
HORVU.MOREX.r3.2HG0112410.1.CDS1	CBL-interacting protein kinase 15 (CIPK15);CBL-interacting protein kinase 20 (CIPK20);CBL-interacting protein kinase 2 (CIPK2);SOS3-interacting protein 1 (SIP1)	OsCIPK02, CIPK2, OsCIPK2, OsSnRK3.26, SnRK3.26;OsCIPK10, OsSnRK3.12, SnRK3.12
HORVU.MOREX.r3.2HG0112440.1.CDS1	CBL-interacting protein kinase 12 (CIPK12);CBL-interacting protein kinase 19 (CIPK19);serine/threonine protein kinase 1 (SR1);SOS3-interacting protein 3 (SIP3);SOS3-interacting protein 4 (SIP4)	OsCIPK02, CIPK2, OsCIPK2, OsSnRK3.26, SnRK3.26;OsCIPK18, OsSnRK3.16, SnRK3.16;OsCIPK22, OsSnRK3.17, SnRK3.17;OsCIPK29, OsSnRK3.25, SnRK3.25;OsCIPK30, OsSnRK3.5, SnRK3.5
HORVU.MOREX.r3.2HG0112460	PIF1 helicase	
HORVU.MOREX.r3.2HG0112520	Plant protein of unknown function (DUF827)	
HORVU.MOREX.r3.2HG0112560	Peroxidase superfamily protein	POX22.3, OSPER, OsPOX, POX, Pir3, prx111, POX22, OsPOX1, POX1, OsPOX22.3, OsPR9, PR9, Perox4, OsPerox4;POX3006, prx114, Osprx114, PO-C1, POC-1, POC1, OsPOC1, Prx14, OsPrx14, POD3006, OsPOD3006;POX8.1, prx110, OsPrx110, POX8;POXgX9, OsPOXgX9, prx112, OsPrx112, PRX112;prx109, POX-2
HORVU.MOREX.r3.2HG0112580	Peroxidase superfamily protein	POX22.3, OSPER, OsPOX, POX, Pir3, prx111, POX22, OsPOX1, POX1, OsPOX22.3, OsPR9, PR9, Perox4, OsPerox4;POX3006, prx114, Osprx114, PO-C1, POC-1, POC1, OsPOC1, Prx14, OsPrx14, POD3006, OsPOD3006;POX8.1, prx110, OsPrx110, POX8;POXgX9, OsPOXgX9, prx112, OsPrx112, PRX112;prx109, POX-2
HORVU.MOREX.r3.2HG0112600	Peroxidase superfamily protein	POX22.3, OSPER, OsPOX, POX, Pir3, prx111, POX22, OsPOX1, POX1, OsPOX22.3, OsPR9, PR9, Perox4, OsPerox4;POX3006, prx114, Osprx114, PO-C1, POC-1, POC1, OsPOC1, Prx14, OsPrx14, POD3006, OsPOD3006;POX8.1, prx110, OsPrx110, POX8;POXgX9, OsPOXgX9, prx112, OsPrx112, PRX112;prx109, POX-2
HORVU.MOREX.r3.2HG0112610	Peroxidase superfamily protein	POX22.3, OSPER, OsPOX, POX, Pir3, prx111, POX22, OsPOX1, POX1, OsPOX22.3, OsPR9, PR9, Perox4, OsPerox4;POX3006, prx114, Osprx114, PO-C1, POC-1, POC1, OsPOC1, Prx14, OsPrx14, POD3006, OsPOD3006;POX8.1, prx110, OsPrx110, POX8;POXgX9, OsPOXgX9, prx112, OsPrx112, PRX112;prx109, POX-2
HORVU.MOREX.r3.2HG0112630	Peroxidase superfamily protein	POX22.3, OSPER, OsPOX, POX, Pir3, prx111, POX22, OsPOX1, POX1, OsPOX22.3, OsPR9, PR9, Perox4, OsPerox4;POX3006, prx114, Osprx114, PO-C1, POC-1, POC1, OsPOC1, Prx14, OsPrx14, POD3006, OsPOD3006;POX8.1, prx110, OsPrx110, POX8;POXgX9, OsPOXgX9, prx112, OsPrx112, PRX112;prx109, POX-2
HORVU.MOREX.r3.2HG0112640	Peroxidase superfamily protein	POX22.3, OSPER, OsPOX, POX, Pir3, prx111, POX22, OsPOX1, POX1, OsPOX22.3, OsPR9, PR9, Perox4, OsPerox4;POX3006, prx114, Osprx114, PO-C1, POC-1, POC1, OsPOC1, Prx14, OsPrx14, POD3006, OsPOD3006;POX8.1, prx110, OsPrx110, POX8;POXgX9, OsPOXgX9, prx112, OsPrx112, PRX112;prx109, POX-2
HORVU.MOREX.r3.2HG0112650	Peroxidase superfamily protein	POX22.3, OSPER, OsPOX, POX, Pir3, prx111, POX22, OsPOX1, POX1, OsPOX22.3, OsPR9, PR9, Perox4, OsPerox4;POX3006, prx114, Osprx114, PO-C1, POC-1, POC1, OsPOC1, Prx14, OsPrx14, POD3006, OsPOD3006;POX8.1, prx110, OsPrx110, POX8;POXgX9, OsPOXgX9, prx112, OsPrx112, PRX112;prx109, POX-2
HORVU.MOREX.r3.2HG0112660	Peroxidase superfamily protein	POX22.3, OSPER, OsPOX, POX, Pir3, prx111, POX22, OsPOX1, POX1, OsPOX22.3, OsPR9, PR9, Perox4, OsPerox4;POX3006, prx114, Osprx114, PO-C1, POC-1, POC1, OsPOC1, Prx14, OsPrx14, POD3006, OsPOD3006;POX8.1, prx110, OsPrx110, POX8;POXgX9, OsPOXgX9, prx112, OsPrx112, PRX112;prx109, POX-2
HORVU.MOREX.r3.2HG0112670	Peroxidase superfamily protein	POX22.3, OSPER, OsPOX, POX, Pir3, prx111, POX22, OsPOX1, POX1, OsPOX22.3, OsPR9, PR9, Perox4, OsPerox4;POX3006, prx114, Osprx114, PO-C1, POC-1, POC1, OsPOC1, Prx14, OsPrx14, POD3006, OsPOD3006;POX8.1, prx110, OsPrx110, POX8;POXgX9, OsPOXgX9, prx112, OsPrx112, PRX112;prx109, POX-2
HORVU.MOREX.r3.2HG0112690	Peroxidase superfamily protein	POX22.3, OSPER, OsPOX, POX, Pir3, prx111, POX22, OsPOX1, POX1, OsPOX22.3, OsPR9, PR9, Perox4, OsPerox4;POX3006, prx114, Osprx114, PO-C1, POC-1, POC1, OsPOC1, Prx14, OsPrx14, POD3006, OsPOD3006;POX8.1, prx110, OsPrx110, POX8;POXgX9, OsPOXgX9, prx112, OsPrx112, PRX112;prx109, POX-2
HORVU.MOREX.r3.2HG0112720	Peroxidase superfamily protein	POX22.3, OSPER, OsPOX, POX, Pir3, prx111, POX22, OsPOX1, POX1, OsPOX22.3, OsPR9, PR9, Perox4, OsPerox4;POX3006, prx114, Osprx114, PO-C1, POC-1, POC1, OsPOC1, Prx14, OsPrx14, POD3006, OsPOD3006;POX8.1, prx110, OsPrx110, POX8;POXgX9, OsPOXgX9, prx112, OsPrx112, PRX112;prx109, POX-2
HORVU.MOREX.r3.2HG0112770	BEST Arabidopsis thaliana protein match is: transcription regulators (TAIR:AT3G56220.1);transcription regulators	OsbHLH160, bHLH160, SIP19, OsSIP19;OsbHLH161;OsbHLH162, bHLH162;OsbHLH163, bHLH163, OsHLH61, HLH61;OsbHLH166, bHLH166
HORVU.MOREX.r3.2HG0112820	embryo defective 2386 (emb2386);Ribosomal protein L19e family protein	RPL19.3, OsRPL19.3, OsRPL19, RPL19e, OsRPL19e
HORVU.MOREX.r3.2HG0112870.1.CDS1	Eukaryotic aspartyl protease family protein	OsAP4
HORVU.MOREX.r3.2HG0112880.1.CDS1	Eukaryotic aspartyl protease family protein	OsAP4
HORVU.MOREX.r3.2HG0112900	Thioredoxin superfamily protein	
HORVU.MOREX.r3.2HG0112910	pectin methylesterase 2 (PME2);pectin methylesterase 3 (PME3);Plant invertase/pectin methylesterase inhibitor superfamily	OsPME2;OsPME22;OsPME25;OsPME3;OsPME6, OsPME1
HORVU.MOREX.r3.2HG0112920	IBA-RESPONSE 3 (IBR3)	OsIVD, IVDH, OsIVDH
HORVU.MOREX.r3.2HG0112960.1.CDS1	ethylene-responsive element binding protein (EBP);HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 1 (HRE1);HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 2 (HRE2)	OsEREBP, OsERF#072, OsERF072, OsERF72, AP2/EREBP#064, AP2/EREBP64, BIERF1, OsBIERF1, OsEBP2;OsERF#061, OsERF061, OsERF61, AP2/EREBP#093, AP2/EREBP93;OsERF#067, OsERF067, OsERF67, AP2/EREBP#076, AP2/EREBP76
HORVU.MOREX.r3.2HG0113030	unknown protein	
HORVU.MOREX.r3.2HG0113040	ABC-2 type transporter family protein;ECERIFERUM 5 (CER5);white-brown complex homolog protein 11 (WBC11)	OsABCG17;OsABCG19, OsABCG19_1, OsABCG19_2;OsABCG22;OsABCG23;OsABCG30, OsABCG11, ABCG11
HORVU.MOREX.r3.2HG0113080.1.CDS1	General transcription factor 2-related zinc finger protein;hAT family dimerisation domain;TTF-type zinc finger protein with HAT dimerisation domain	
HORVU.MOREX.r3.2HG0113090.1.CDS1	hAT family dimerisation domain;TTF-type zinc finger protein with HAT dimerisation domain	
HORVU.MOREX.r3.2HG0113120.1.CDS1	Pentatricopeptide repeat (PPR-like) superfamily protein;Pentatricopeptide repeat (PPR) superfamily protein;rna processing factor 2 (RPF2);Tetratricopeptide repeat (TPR)-like superfamily protein	
HORVU.MOREX.r3.2HG0113170	Protein of unknown function (DUF167)	
HORVU.MOREX.r3.2HG0113180	NRPB8A;NRPB8B	
HORVU.MOREX.r3.2HG0113190	AUD1;UDP-glucuronic acid decarboxylase 1 (UXS1);UDP-GLUCURONIC ACID DECARBOXYLASE 2 (UXS2);UDP-xylose synthase 4 (UXS4)	OsUXS1, UXS-1;OsUXS2, UXS-2, Osl381, l381;OsUXS5, UXS-5;OsUXS6, UXS-6;UXS, UXS-3, OsUXS3, OsFC18
HORVU.MOREX.r3.2HG0113210	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);NB-ARC domain-containing disease resistance protein	OsPiPR1;Xa1(Xe), Xe, Xa1, Xa-1
HORVU.MOREX.r3.2HG0113270	Hypoxia-responsive family protein	OsHIGD2, HIGD2;OsHIGD4, HIGD4
HORVU.MOREX.r3.2HG0113310.1.CDS1	Galactose oxidase/kelch repeat superfamily protein;SKP1 interacting partner 6 (SKIP6)	OsFbox400, Os_F0541, OsFBK19, FBK19
HORVU.MOREX.r3.2HG0113310.2.CDS2	Galactose oxidase/kelch repeat superfamily protein;SKP1 interacting partner 6 (SKIP6)	OsFbox400, Os_F0541, OsFBK19, FBK19
HORVU.MOREX.r3.2HG0113330.1.CDS1	photosystem II subunit X (PSBX)	
HORVU.MOREX.r3.2HG0113380	SER/ARG-rich protein 34A (SRp34a);SERINE-ARGININE PROTEIN 30 (ATSRP30)	Os-SR33, OsSR33, SR33, OsSRp33b, Os-SRp33b, RRM1-148, OsRRM1-148
HORVU.MOREX.r3.2HG0113390	Adenine nucleotide alpha hydrolases-like superfamily protein	OsUsp1, OsUSP31, USP31;OsUSP36;OsUSP43;OsUSP44
HORVU.MOREX.r3.2HG0113410	P-loop containing nucleoside triphosphate hydrolases superfamily protein	
HORVU.MOREX.r3.2HG0113490	Adenine nucleotide alpha hydrolases-like superfamily protein	OsUsp1, OsUSP31, USP31;OsUSP3, OsUSP5, USP5;OsUSP43;OsUSP44
HORVU.MOREX.r3.2HG0113500	Adenine nucleotide alpha hydrolases-like superfamily protein	OsUsp1, OsUSP31, USP31;OsUSP36;OsUSP43;OsUSP44
HORVU.MOREX.r3.2HG0113520	Adenine nucleotide alpha hydrolases-like superfamily protein	OsUsp1, OsUSP31, USP31;OsUSP36;OsUSP43;OsUSP44
HORVU.MOREX.r3.2HG0113530	THUMP domain-containing protein	
HORVU.MOREX.r3.2HG0113540	nitrogen limitation adaptation (NLA)	OsRFPHC-13, OsNLA, NLA, OsNLA1, OsNLA1.1, OsNLA1.2, OsNLA1.3, OsRING269, RING269;OsRFPHC-1, OsNLA2, NLA2, OsNLA2.1, OsNLA2.2, OsRING348, RING348
HORVU.MOREX.r3.2HG0113550	EARLY IN SHORT DAYS 4 (ESD4);UB-like protease 1A (ULP1A);UB-like protease 1B (ULP1B)	OsELS1;OsELS2;OsFUG1
HORVU.MOREX.r3.2HG0113570	Subunits of heterodimeric actin filament capping protein Capz superfamily	
HORVU.MOREX.r3.2HG0113590	unknown protein	
HORVU.MOREX.r3.2HG0113610.1.CDS1	UDP-Glycosyltransferase superfamily protein	UGT
HORVU.MOREX.r3.2HG0113650	Protein of unknown function (DUF567)	
HORVU.MOREX.r3.2HG0113660	AAA-type ATPase family protein	
HORVU.MOREX.r3.2HG0113680	ISCU-like 2 (ISU2);ISCU-like 3 (ISU3);ISU1	OsISC5;OsISC6
HORVU.MOREX.r3.2HG0113700	Rubber elongation factor protein (REF)	
HORVU.MOREX.r3.2HG0113710	arginine methyltransferase 11 (PRMT11);protein arginine methyltransferase 4A (PRMT4A);protein arginine methyltransferase 4B (PRMT4B)	OsPRMT4;OsPRMT710, OsPRMT10
HORVU.MOREX.r3.2HG0113730.1.CDS1	RNA binding	
HORVU.MOREX.r3.2HG0113810.1.CDS1	BEST Arabidopsis thaliana protein match is: flowering promoting factor 1 (TAIR:AT5G24860.1);FLOWERING PROMOTING FACTOR 1 (FPF1);FPF1-like protein 1 (FLP1)	OsFPFL2;OsFPFL4;OsFPFL5, ACL1, OsACL1;OsRAA1, OsFPFL1, FPFL1
HORVU.MOREX.r3.2HG0113820.1.CDS1	BEST Arabidopsis thaliana protein match is: flowering promoting factor 1 (TAIR:AT5G24860.1);FLOWERING PROMOTING FACTOR 1 (FPF1);FPF1-like protein 1 (FLP1)	OsFPFL2;OsFPFL4;OsFPFL5, ACL1, OsACL1;OsRAA1, OsFPFL1, FPFL1
HORVU.MOREX.r3.2HG0113870.1.CDS1	EMBRYO DEFECTIVE 2745 (EMB2745);Pentatricopeptide repeat (PPR-like) superfamily protein	
HORVU.MOREX.r3.2HG0113880	Heavy metal transport/detoxification superfamily protein 	OsHIPP53, OsaHIP53, HIP53;OsHMP1, HMP1, OsHMP01, OsHIPP50, OsaHIP50, HIP50;OsHMP30, HMP30, OsHIPP57, OsaHIP57, HIP57;OsHMP36, HMP36, OsHIPP54, OsaHIP54, HIP54
HORVU.MOREX.r3.2HG0113890	BRU6;DWARF IN LIGHT 1 (DFL1);GH3.17;putative indole-3-acetic acid-amido synthetase GH3.9 (GH3.9);WES1	OsGH3-11, OsGH3.11, GH3.11;OsGH3-4, OsGH3.4, GH3.4
HORVU.MOREX.r3.2HG0113920	AtATG18a;homolog of yeast autophagy 18 (ATG18) D (ATG18D);homolog of yeast autophagy 18C (ATG18C)	OsATG18b, OsWD40-3;OsATG18c, OsWD40-30;OsATG18d, OsWD40-114
HORVU.MOREX.r3.2HG0113930	AtATG18a;homolog of yeast autophagy 18 (ATG18) D (ATG18D);homolog of yeast autophagy 18C (ATG18C)	OsATG18b, OsWD40-3;OsATG18d, OsWD40-114
HORVU.MOREX.r3.2HG0114070.1.CDS1	Eukaryotic aspartyl protease family protein	
HORVU.MOREX.r3.2HG0114100.1.CDS1	Eukaryotic aspartyl protease family protein	
HORVU.MOREX.r3.2HG0114130.1.CDS1	calcium exchanger 7 (CAX7);cation calcium exchanger 4 (CCX4);cation exchanger 9 (CAX9)	OsCAX7, OsNCX12, NCX12, OsNaCa11exA;OsCCX1, OsNCX6, NCX6;OsCCX3, OsNCX11, NCX11;OsCCX4, OsNCX15, NCX15;OsCDT1, OsCCX2, CCX2, OsNCX8, NCX8
HORVU.MOREX.r3.2HG0114140	multidrug resistance-associated protein 14 (MRP14);multidrug resistance-associated protein 6 (MRP6)	OsABCC14, OsMRP14, OsABCC14-1, OsABCC14-2, OsABCC8, ABCC8;OsABCC15, OsMRP15;OsABCC16, OsMRP16, OsABCC10, ABCC10;OsABCC17, OsMRP17
HORVU.MOREX.r3.2HG0114150	Homeodomain-like superfamily protein;HYPERSENSITIVITY TO LOW PI-ELICITED PRIMARY ROOT  SHORTENING 1 (HRS1);myb-like transcription factor family protein	OsMYB59, OsHHO3, HHO3, OsNIGT3, NIGT3;OsNIGT1, HINGE6, OsHINGE6;OsNIGT2;OsUCIP5, OsNIGT4, NIGT4
HORVU.MOREX.r3.2HG0114200.1.CDS1	CHLORORESPIRATORY REDUCTION22 (CRR22);Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	OsPLS35;OsPPS1;PPR, OsPLS34
HORVU.MOREX.r3.2HG0114210	CW-type Zinc Finger	OsCW-ZF3, CW-ZF3;OsCW-ZF7, CW-ZF7, CWZF7, OsWG7, AKIP695, OsAKIP695
HORVU.MOREX.r3.2HG0114240	K+ uptake transporter 3 (KUP3);TINY ROOT HAIR 1 (TRH1)	OsHAK2;OsHAK3;OsHAK7
HORVU.MOREX.r3.2HG0114250	unknown protein	
HORVU.MOREX.r3.2HG0114260.1.CDS1	DORNROSCHEN-like (DRNL);Integrase-type DNA-binding superfamily protein;LEAFY PETIOLE (LEP);PUCHI	ERF79, OsERF#079, OsERF079, OsERF79, AP2/EREBP#017, AP2/EREBP17, OsNDL1, DSP, OsDSP;fzp*, fzp, OsBD1, BD1, OsERF#078, OsERF078, OsERF78, ERF78, AP2/EREBP#133, AP2/EREBP133, BFL1, SGDP7, OsSGDP7;OsERF#080, OsERF080, OsERF80, AP2/EREBP#069, AP2/EREBP69;OsERF#081, OsERF081, OsERF81, AP2/EREBP#014, AP2/EREBP14;OsERF#082, OsERF082, OsERF82, AP2/EREBP#035, AP2/EREBP35
HORVU.MOREX.r3.2HG0114270.1.CDS1	Calcium-dependent lipid-binding (CaLB domain) family protein	OsC2DP4;OsC2DP67;OsC2DP68;OsSRC2, OsC2DP10, C2DP10
HORVU.MOREX.r3.2HG0114280	EMBRYO DEFECTIVE 269 (EMB269);GTP-binding protein Obg/CgtA	OsObgC1, ObgC1;OsObgC2, ObgC2, TSV3/OsObgC2;OsObgM, ObgM
HORVU.MOREX.r3.2HG0114290	xylose isomerase family protein	OsXYLA1
HORVU.MOREX.r3.2HG0114320	recovery protein 3 (REV3)	OsPoldelta1, OspolD1
HORVU.MOREX.r3.2HG0114330	ankyrin repeat family protein	OsTPR043, TPR043, OsTPR43;OsTPR171;OsTPR172;OsTPR173;OsTPR211
HORVU.MOREX.r3.2HG0114370	avrPphB susceptible 1 (PBS1);Protein kinase superfamily protein	OsRLCK185;OsRLCK240;OsRLCK55;OsRLCK72
HORVU.MOREX.r3.2HG0114390	alpha/beta-Hydrolases superfamily protein	
HORVU.MOREX.r3.2HG0114450.1.CDS1	ATCTH;PEI1;salt-inducible zinc finger 1 (SZF1)	OsC3H10, OsTZF8, OsCCCH-Zn-2, OsEnS-12;OsC3H24, OsTZF3, TZF3, OsCCCH-Zn-8, CCCH-Zn-8, OsC3H25, C3H25;OsC3H37, OsTZF7, OsCCCH-Zn-1, OsC3H40, C3H40;OsGZF1, OsC3H58, C3H58
HORVU.MOREX.r3.2HG0114460.1.CDS1	ATCTH;CCCH-type zinc finger family protein;CCCH-type zinc finger protein with ARM repeat domain;PEI1	OsC3H10, OsTZF8, OsCCCH-Zn-2, OsEnS-12;OsC3H37, OsTZF7, OsCCCH-Zn-1, OsC3H40, C3H40;OsDOS, OsC3H2, C3H2, OsTZF2, OsCCCH-Zn-4;OsGZF1, OsC3H58, C3H58
HORVU.MOREX.r3.2HG0114510	HAESA (HAE);HAESA-like 1 (HSL1);HAESA-like 2 (HSL2);LRR XI-23	
HORVU.MOREX.r3.2HG0114520	GDSL-like Lipase/Acylhydrolase superfamily protein;GDSL-motif lipase 7 (GLIP7)	OsGELP46, OsGELP46a, OsGELP46b;OsGELP56;OsGELP94, OsGELP94a, OsGELP94b
HORVU.MOREX.r3.2HG0114570	unknown protein	
HORVU.MOREX.r3.2HG0114600	RNI-like superfamily protein	OsFbox086, OsFbox86, Os_F0482, OsFBX48, FBX48;OsFbox087, OsFbox87, Os_F0536, OsFBL8, FBL8;OsFbox410, Os_F0192, OsFBX264, FBX264;OsFbox413, Os_F0321, OsFBL41, FBL41;OsFbox417, Os_F0682, OsFBL43, FBL43
HORVU.MOREX.r3.2HG0114680	signal recognition particle 54 kDa subunit (ATHSRP54A);Signal recognition particle, SRP54 subunit protein	cpSRP54;OscpSRP54b, cpSRP54b
HORVU.MOREX.r3.2HG0114710	signal recognition particle 54 kDa subunit (ATHSRP54A);Signal recognition particle, SRP54 subunit protein	cpSRP54;OscpSRP54b, cpSRP54b
HORVU.MOREX.r3.2HG0114720	P-loop containing nucleoside triphosphate hydrolases superfamily protein;signal recognition particle 54 kDa subunit (ATHSRP54A);Signal recognition particle, SRP54 subunit protein	cpSRP54
HORVU.MOREX.r3.2HG0114830.1.CDS1	curculin-like (mannose-binding) lectin family protein / PAN domain-containing protein;lectin protein kinase family protein	RLCK121, OsRLCK121, SDK13, OsSDK13, OsPWL1;SDRLK-10, OsSDRLK-10, OsSDRLK10
HORVU.MOREX.r3.2HG0114910	gamete expressed protein 1 (GEX1)	OsGEX1
HORVU.MOREX.r3.2HG0114920	Protein kinase superfamily protein	CKL10, Orysa;CKL10, OsCKL:10, CKL:10;Orysa;CKL2;Orysa;CKL4
HORVU.MOREX.r3.2HG0114930	homolog of nucleolar protein NOP56 (NOP56);NOP56-like pre RNA processing ribonucleoprotein	BIP101;BIP102
HORVU.MOREX.r3.2HG0114950	Pectin lyase-like superfamily protein	OsPME11, PME11, OsPME1;OsPME18;OsPME20, OsEnS-109;OsPME21
HORVU.MOREX.r3.2HG0114960	Pectin lyase-like superfamily protein	OsPME18;OsPME20, OsEnS-109;OsPME21;OsPME5
HORVU.MOREX.r3.2HG0114980	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
HORVU.MOREX.r3.2HG0115000	B-box type zinc finger protein with CCT domain	OsBBX23, OsCCT27, CCT27, OsR, OsCOL13, COL13;OsP, OsBBX9, OsCCT12, CCT12
HORVU.MOREX.r3.2HG0115170	alcohol dehydrogenase 1 (ADH1);GroES-like zinc-binding dehydrogenase family protein;sensitive to hot temperatures 5 (HOT5)	Adh1, Adh1/2, adh1/adh2, OsADH1;Adh2*, Adh2, OsADH2;Adh3, OsAdh3, ADH2, OsADH2
HORVU.MOREX.r3.2HG0115180	Plant protein of unknown function (DUF247)	OsDUF247
HORVU.MOREX.r3.2HG0115210	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;FAMA (FMA);MUTE (MUTE);SPEECHLESS (SPCH)	OsbHLH048, bHLH048, bHLH48;OsbHLH051, bHLH051, bHLH51, OsFAMA, FAMA;OsbHLH054, bHLH054, bHLH54, OsSPCH1, SPCH1, SPCH;OsbHLH055, bHLH055, bHLH55, OsMUTE, MUTE
HORVU.MOREX.r3.2HG0115230	beta-amylase 1 (BAM1);beta-amylase 2 (BAM2);beta-amylase 3 (BMY3);beta-amylase 4 (BAM4);chloroplast beta-amylase (CT-BMY)	OsBamy2, Bamy2, OsBmy3, Bmy3, OsBMY4, BMY4, OsBAM3, BAM3;OsBmy4, Bmy4;OsBMY6, BAM3, OsBAM3, OsBAM5, BAM5;OsSTA201, OsBmy7, Bmy7;OsSTA246, STA246, OsBamy1, Bamy1, BAM2, OsBAM2, OsBmy9, Bmy9, BMY5, OsBMY5
HORVU.MOREX.r3.2HG0115240	tubby like protein 11 (TLP11);tubby like protein 3 (TLP3);tubby-like protein 9 (TLP9)	OsTLP14, TLP14, OsTLP6, OsFbox139, Os_F0681, OsFBT5, FBT5;OsTLP4, TLP4, OsTLP14, OsFbox645, Os_F0315, OsFBT14, FBT14;OsTLP6, TLP6, OsTLP13, OsFbox569, Os_F0461, OsFBT13, FBT13;OsTLP7, TLP7, OsTLP11, OsFbox398, Os_F0421, OsFBT11, FBT11
HORVU.MOREX.r3.2HG0115250	Na+/H+ exchanger 1 (NHX1);sodium hydrogen exchanger 2 (NHX2)	OsNHX1, OcNHX1, OgNHX1, OrNHX1, OpNHX1, ObNHX1, OsNHX3, NHX3;OsNHX2, OsNHX6, NHX6;OsNHX3, OsNHX2, NHX2, OsNHX1, NHX1
HORVU.MOREX.r3.2HG0115290	Kinase interacting (KIP1-like) family protein	
HORVU.MOREX.r3.2HG0115300	copper/zinc superoxide dismutase 1 (CSD1);copper/zinc superoxide dismutase 2 (CSD2);copper/zinc superoxide dismutase 3 (CSD3)	Cu/Zn-SOD, Cu/Zn- SOD, OsCu-ZnSOD2, Cu-ZnSOD2, OsSODB, OsSOD3, SodCc2, Os SodCc2, sodB, OsSodB, RSODB, OssodCc1, OsCSD1.1, CSD1.1, OsCDS1, OsSOD3-CU/Zn, SOD3-CU/Zn, CuZnSOD2, Cu/ZnSOD2, OsCu/ZnSOD2, OsCSD1, CSD1, CuZnSOD1, OsCuZnSOD2, OsCSD4, CSD4, OsCSD3, CSD3, Cu/Zn-SOD3;OsSOD4, OsCSD4, OsCu/Zn-SOD1, Cu/Zn-SOD1, OsCSD2, CSD2, OsSOD4-Cu/Zn, SOD4-Cu/Zn, Cu/ZnSOD3, CuZnSOD3, sodCp, OssodCp, OsCu/ZnSOD3, CuZnSOD2, OsSOD1;sodCc1, SODCC.1, sodA, RSODA, OsSOD1, OsCSD2, OsSodA, SodCc2, OsSODA1, SODCc1-Cu/Zn, OsCu/Zn-SOD2, Cu/Zn-SOD2, OsCSD1.2, CSD1.2, OsSODCc1-Cu/Zn, SODCc1-Cu/Zn, CuZnSOD1, Cu/ZnSOD1, OsCu/ZnSOD1, OsCSD4, CDS4, CuZnSOD4, OsCuZnSOD1, OsCSD1, CSD1, OsSOD2
HORVU.MOREX.r3.2HG0115300	copper/zinc superoxide dismutase 1 (CSD1);copper/zinc superoxide dismutase 2 (CSD2);copper/zinc superoxide dismutase 3 (CSD3)	Cu/Zn-SOD, Cu/Zn- SOD, OsCu-ZnSOD2, Cu-ZnSOD2, OsSODB, OsSOD3, SodCc2, Os SodCc2, sodB, OsSodB, RSODB, OssodCc1, OsCSD1.1, CSD1.1, OsCDS1, OsSOD3-CU/Zn, SOD3-CU/Zn, CuZnSOD2, Cu/ZnSOD2, OsCu/ZnSOD2, OsCSD1, CSD1, CuZnSOD1, OsCuZnSOD2, OsCSD4, CSD4, OsCSD3, CSD3, Cu/Zn-SOD3;OsSOD2, OsSOD2-Cu/Zn, SOD2-Cu/Zn, OsCSD3, CSD3, CuZnSOD3, OsCSD2, CSD2, Cu/Zn-SOD2;OsSOD4, OsCSD4, OsCu/Zn-SOD1, Cu/Zn-SOD1, OsCSD2, CSD2, OsSOD4-Cu/Zn, SOD4-Cu/Zn, Cu/ZnSOD3, CuZnSOD3, sodCp, OssodCp, OsCu/ZnSOD3, CuZnSOD2, OsSOD1;sodCc1, SODCC.1, sodA, RSODA, OsSOD1, OsCSD2, OsSodA, SodCc2, OsSODA1, SODCc1-Cu/Zn, OsCu/Zn-SOD2, Cu/Zn-SOD2, OsCSD1.2, CSD1.2, OsSODCc1-Cu/Zn, SODCc1-Cu/Zn, CuZnSOD1, Cu/ZnSOD1, OsCu/ZnSOD1, OsCSD4, CDS4, CuZnSOD4, OsCuZnSOD1, OsCSD1, CSD1, OsSOD2
HORVU.MOREX.r3.2HG0115330.1.CDS1	Aminotransferase-like, plant mobile domain family protein	
HORVU.MOREX.r3.2HG0115340	NAD(P)-binding Rossmann-fold superfamily protein	OsSDR110C-MI2, SDR110C-MI2
HORVU.MOREX.r3.2HG0115350.1.CDS1	Disease resistance-responsive (dirigent-like protein) family protein	OsDIR13, OsjDIR13;OsDIR14, OsjDIR14;OsDIR15, OsjDIR15;OsDIR16, OsjDIR16;OsDIR49, OsjDIR49
HORVU.MOREX.r3.2HG0115380	NAD(P)-binding Rossmann-fold superfamily protein	OsSDR110C-MI2, SDR110C-MI2
HORVU.MOREX.r3.2HG0115410	NAD(P)-binding Rossmann-fold superfamily protein	OsSDR110C-MI2, SDR110C-MI2
HORVU.MOREX.r3.2HG0115460	glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein;RXF12	OsMORE1g;OsMORE1h;OsMORE1k;OsMORE1l;OsXYN1, OsXyn1, XYN1, OsSS, OsMORE1m, MORE1m
HORVU.MOREX.r3.2HG0115480	Tesmin/TSO1-like CXC domain-containing protein	
HORVU.MOREX.r3.2HG0115490	NAD(P)-binding Rossmann-fold superfamily protein	OsSDR110C-MI3
