QOZ80_1AG0000010	NC domain-containing protein-related	
QOZ80_1BG0082040	AUXIN-INDUCED IN ROOT CULTURES 3 (AIR3);SBT5.4;subtilase family protein;Subtilisin-like serine endopeptidase family protein	OsSub12;OsSub3;OsSub30;OsSub50;OsSub58
QOZ80_1BG0082050	O-methyltransferase 1 (OMT1);O-methyltransferase family protein	OsCOMT28;OsCOMTL1, OsCOMT27, COMT27;OsCOMTL2, OsCOMT3, COMT3;OsCOMTL5, OsCOMT4, COMT4;OsCOMTL6, OsCOMT5, COMT5, OsCOMTL4, COMTL4
QOZ80_1BG0082060	anaphase-promoting complex/cyclosome 11 (APC11)	APC11, OsAPC11;OsRFPH2-13
QOZ80_1BG0082070	unknown protein	
QOZ80_1BG0082080	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP24;OsGELP25;OsGELP67, OsGELP67a, OsGELP67b;OsGELP73;OsGELP95
QOZ80_1BG0082090	HVA22 homologue A (HVA22A);HVA22 homologue B (HVA22B);HVA22 homologue C (HVA22C);HVA22-like protein F (HVA22F)	BIP124
QOZ80_1BG0082120	FUNCTIONS IN: molecular_function unknown;Protein of unknown function (DUF1264)	OsSTA32
QOZ80_1BG0082130	Protein of unknown function DUF92, transmembrane	
QOZ80_1BG0082140	Leucine-rich repeat (LRR) family protein;receptor like protein 29 (RLP29);ROP-interactive CRIB motif-containing protein 7 (RIC7);TOO MANY MOUTHS (TMM)	OsTMM
QOZ80_1BG0082150	SNF1 kinase homolog 10 (KIN10);SNF1 kinase homolog 11 (KIN11)	osk1, SnRK1A, OsSnRK1A, OsSNRK1a, SnRK1A/OSK1, SnRK1a, OsSnRK1.2, SnRK1.2, OsSnRK1alphaA, SnRK1alphaA;osk3, OsATG1b, ATG1B, OSK5, osk5, OSK35, SnRK1b, OsK35, OsSnRK1.1, SnRK1.1, OsSnRK1alphaB, SnRK1alphaB;osk4, OsK4, OsATG1c, ATG1C, SnRK1B, snrk1b, SnRK1B/OSK24, OSK24, OsK24, OsSNRK1b, OsSnRK1.4, SnRK1.4, OsSnRK1alphaC, SnRK1alphaC
QOZ80_1BG0082180	unknown protein	
QOZ80_1BG0082200		OsFbox035, OsFbox35, Os_F0556, OsFBX22, FBX22;OsFbox363, Os_F0353, OsFBLD5, FBLD5;OsFbox364, Os_F0107, OsFBLD6, FBLD6;OsRALyase1, RALyase1, OsFBX17, FBX17;OsRALyase, OsFbox090, OsFbox90, Os_F0337, OsFBO11, FBO11
QOZ80_1BG0082220	trehalose phosphatase/synthase 5 (TPS5);trehalose-phosphatase/synthase 7 (TPS7)	OsTPS2;OsTPS3;OsTPS6
QOZ80_1BG0082230	DNAJ heat shock N-terminal domain-containing protein	OsDjC13;OsDjC45;OsDjC50
QOZ80_1BG0082250	WRKY DNA-binding protein 14 (WRKY14);WRKY DNA-binding protein 27 (WRKY27);WRKY DNA-binding protein 65 (WRKY65);WRKY DNA-binding protein 69 (WRKY69)	OsWRKY13;OsWRKY14;OsWRKY37;OsWRKY39;OsWRKY80
QOZ80_1BG0082260	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein	
QOZ80_1BG0082270	AAA-type ATPase family protein;STICHEL (STI)	
QOZ80_1BG0082280	Ubiquitin domain-containing protein	
QOZ80_1BG0082290	pathogenesis-related family protein	
QOZ80_1BG0082300	unknown protein	
QOZ80_1BG0082310	embryo defective 2001 (EMB2001);P-loop containing nucleoside triphosphate hydrolases superfamily protein	
QOZ80_1BG0082330	YUCCA2 (YUC2);YUCCA 3 (YUC3);YUCCA4 (YUC4);YUCCA6 (YUC6)	OsYUCCA2, OsYUC2, YUC2;OsYUCCA3, OsYUC3, YUC3;OsYUCCA4, OsYUC4, YUC4, YUCCA6, OsYUCCA6;OsYUCCA6, OsYUC6, YUC6;OsYUCCA7, OsYUC7, OsYUC5, YUC5, YUC7
QOZ80_1BG0082340	heat shock factor 3 (HSF3);heat shock transcription factor A2 (HSFA2);heat shock transcription factor  C1 (HSFC1)	HSfC1a, OsHsfC1a, OsHsf-02, OsHSF2, HSF2, rHsf13, HSF02, HSF13;HSfC2a, OsHsfC2a, OsHsf-05, HSF05, OsHSF5, HSF5;HSfC2b, OsHsfC2b, OsHsf-16, HSF16, OsHSF16;OsHsfC1b, HsfC1b, HSF03, OsHsf-03, OsHSF3, HSF3, HSF11, rHsf11
QOZ80_1BG0082350	JP630;polygalacturonase 2 (PG2);RESPONSIVE TO DESSICATION 22 (RD22);unknown seed protein like 1 (USPL1)	OsBURP05, OsBURP5;OsBURP06, OsBURP6;OsBURP17;RD22, OsBURP03, OsBURP3
QOZ80_1BG0082360	Flavodoxin family protein;P450 reductase 1 (ATR1);P450 reductase 2 (ATR2)	OsCPR1, CPR1;OsCPR2;OsCPR3
QOZ80_1BG0082400	Ribosomal protein L20	
QOZ80_1BG0082410	respiratory burst oxidase homologue D (RBOHD);respiratory burst oxidase protein F (RBOH F);Riboflavin synthase-like superfamily protein	OsrbohI, Os rbohI, rbohI, OsRbohI, OsRbohF, OsNOX8, NOX8, OsRboh8, Rboh8;rbohA, OsrbohA, Os rbohA, OsRbohA, OsNox2, Nox2, OsRboh2, Rboh2;rbohC, OsrbohC, Os rbohC, OsRbohC, OsNox5, Nox5, OsrbohD, OsRboh5, RBOHA, OsRboh5, Rboh5
QOZ80_1BG0082420	GT72B1;UDP-glucosyl transferase 88A1 (UGT88A1);UDP-Glycosyltransferase superfamily protein	OsUGT706D3;OsUGT706E1, OsUGT1, UGT1;OsUGT706E2;OsUGT706F1;UGT, OsUGT706D1
QOZ80_1BG0082430	GT72B1;UDP-glucosyl transferase 88A1 (UGT88A1);UDP-Glycosyltransferase superfamily protein	OsUGT706D3;OsUGT706E1, OsUGT1, UGT1;OsUGT706E2;OsUGT706F1;UGT, OsUGT706D1
QOZ80_1BG0082440	GT72B1;UDP-glucosyl transferase 72B3 (UGT72B3);UDP-glucosyl transferase 88A1 (UGT88A1)	OsUGT706C3;OsUGT706D3;OsUGT706E1, OsUGT1, UGT1;OsUGT706E2;OsUGT706F1
QOZ80_1BG0082450	GT72B1;UDP-glucosyl transferase 88A1 (UGT88A1)	OsUGT706D3;OsUGT706E1, OsUGT1, UGT1;OsUGT706E2;OsUGT706F1;UGT, OsUGT706D1
QOZ80_1BG0082460	GT72B1;UDP-glucosyl transferase 88A1 (UGT88A1);UDP-Glycosyltransferase superfamily protein	OsUGT706D3;OsUGT706F1;OsUGT706G6;UGT, OsUGT706D1
QOZ80_1BG0082470	GT72B1;UDP-glucosyl transferase 71B5 (UGT71B5);UDP-glucosyl transferase 88A1 (UGT88A1)	OsUGT706D3;OsUGT706E1, OsUGT1, UGT1;OsUGT706F1;OsUGT706G6
QOZ80_1BG0082490	GT72B1;UDP-glucosyl transferase 88A1 (UGT88A1)	OsUGT706C1;OsUGT706C3;OsUGT706C4, UGT706C4, OsLTG5, LTG5RT, OsLTG5RT;OsUGT706D3;UGT, OsUGT706D1
QOZ80_1BG0082500	GT72B1;UDP-glucosyl transferase 72B3 (UGT72B3);UDP-glucosyl transferase 88A1 (UGT88A1)	OsUGT706C1;OsUGT706C3;OsUGT706C4, UGT706C4, OsLTG5, LTG5RT, OsLTG5RT;OsUGT706D3;UGT, OsUGT706D1
QOZ80_1BG0082510	GT72B1;UDP-glucosyl transferase 71B5 (UGT71B5);UDP-glucosyl transferase 88A1 (UGT88A1)	OsUGT706B1;OsUGT706C3;OsUGT706C4, UGT706C4, OsLTG5, LTG5RT, OsLTG5RT;OsUGT706D3;UGT, OsUGT706D1
QOZ80_1BG0082520	GT72B1;UDP-glucosyl transferase 88A1 (UGT88A1)	OsUGT706D3;OsUGT88C2;OsUGT88C3;UGT, OsUGT706D1
QOZ80_1BG0082530	UDP-glucosyl transferase 88A1 (UGT88A1);UDP-Glycosyltransferase superfamily protein	OsUGT706C3;OsUGT706C4, UGT706C4, OsLTG5, LTG5RT, OsLTG5RT;OsUGT706D2;OsUGT706D3;UGT, OsUGT706D1
QOZ80_1BG0082540	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	5C300, OsNHL38;5C700, OsNHL37;OsNHL7
QOZ80_1BG0082550	RING/U-box superfamily protein	OsFbox641, Os_F0319, OsFBO23, FBO23;OsRFPH2-2, OsRING323, RING323, OsC3HC4_019, C3HC4_019;OsRING96;OsRING97, OsC3HC4_055, C3HC4_055
QOZ80_1BG0082560	Reticulan like protein B3 (RTNLB3);Reticulon family protein;VIRB2-interacting protein 1 (BTI1);VIRB2-interacting protein 2 (BTI2)	OsRTNLB14;OsRTNLB2;OsRTNLB4
QOZ80_1BG0082580	COP9 signalosome 5A (CSN5A);COP9-signalosome 5B (CSN5B);Mov34/MPN/PAD-1 family protein	Osjab1, jab1, OsJAB1, CSN5, OsCSN5, OsCSN5A CSN5A;OsRpn11, Rpn11
QOZ80_1BG0082600	phosphoesterase	
QOZ80_1BG0082610	Polynucleotidyl transferase, ribonuclease H-like superfamily protein;Werner syndrome-like exonuclease (WRNEXO)	OsSTA26
QOZ80_1BG0082620	Polynucleotidyl transferase, ribonuclease H-like superfamily protein	OsSTA26
QOZ80_1BG0082630	ENHANCED RESPONSE TO ABA 1 (ERA1);RAB geranylgeranyl transferase beta subunit 2;RAB geranylgeranyl transferase beta subunit 2 (RGTB2)	OsERA1, OsERA1.1, OsERA1.2, OsABA1, ABA1, OsPFT-beta, PFT-beta
QOZ80_1BG0082670	proline-rich extensin-like receptor kinase 10 (PERK10);Protein kinase superfamily protein	OsPERK1;OsRLCK175, OsPERK5, PERK5;OsSTA174, RHS10, OsPERK6, PERK6
QOZ80_1BG0082690	ENTH/VHS family protein	
QOZ80_1BG0082700	phosphofructokinase 1 (PFK1);phosphofructokinase 3 (PFK3);phosphofructokinase 4 (PFK4);phosphofructokinase 6 (PFK6);phosphofructokinase 7 (PFK7)	OsPFK01, PFK01, OsPFK1;OsPFK02, PFK02, OsPFK2, OsPFK1;OsPFK05, PFK05, OsPFK5, OsPFK2;OsPFK06, PFK06
QOZ80_1BG0082710	Insulinase (Peptidase family M16) protein;mitochondrial processing peptidase alpha subunit (MPPalpha);MPPBETA	
QOZ80_1BG0082720	Phosphotyrosine protein phosphatases superfamily protein	OsPP115;OsPP14;OsPP77;OsPP82
QOZ80_1BG0082730	haloacid dehalogenase-like hydrolase family protein	
QOZ80_1BG0082750	O-Glycosyl hydrolases family 17 protein	Gns9, OsGns9, OsPR8a, PR8a, OsBGL12, BGL12, BG12, OsBG12
QOZ80_1BG0082760	profilin 1 (PRF1);profilin 2 (PFN2);profilin 3 (PRF3);profilin 4 (PRF4);profilin 5 (PRF5)	OsPFN1.2;OsPRF1, OsPFN1.1, PFN1.1;OsPRF2, OsPFN2, PFN2
QOZ80_1BG0082770	Protein of unknown function (DUF1005)	
QOZ80_1BG0082780	ALTERED MERISTEM PROGRAM 1 (AMP1);Peptidase M28 family protein;protease-associated (PA) domain-containing protein	go, go1, pla3, PLA3, PLA3/GO, OsLBD3-7, LBD3-7, OsLBD25, LBD25
QOZ80_1BG0082790	ALTERED MERISTEM PROGRAM 1 (AMP1);Peptidase M28 family protein;protease-associated (PA) domain-containing protein	go, go1, pla3, PLA3, PLA3/GO, OsLBD3-7, LBD3-7, OsLBD25, LBD25
QOZ80_1BG0082800	chitin elicitor receptor kinase 1 (CERK1);INFLORESCENCE GROWTH INHIBITOR 1 (IGI1);protein kinase family protein / peptidoglycan-binding LysM domain-containing protein;Protein kinase superfamily protein	OsCERK1, OsLysM-RLK9, Os-CERK1, Os-LysM-RLK9, OsLysMRLK9, OsCERK1/OsLYK9, OsLYK9, LYK9;OsLysM-RLK10, LysM-RLK10, OsRLCK276, OsCERK2/OsRLK10, OsCERK2, OsRLK10, CERK2, RLK10;OsLysM-RLK3, LysM-RLK3, OsLYK;OsLysM-RLK4, LysM-RLK4, OsRLK3
QOZ80_1BG0082820	indole-3-acetic acid inducible 18 (IAA18);indoleacetic acid-induced protein 8 (IAA8);phytochrome-associated protein 1 (PAP1);phytochrome-associated protein 2 (PAP2)	OsIAA6
QOZ80_1BG0082830	tRNA/rRNA methyltransferase (SpoU) family protein	
QOZ80_1BG0082840	LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1 (LOS1);Ribosomal protein S5/Elongation factor G/III/V family protein	
QOZ80_1BG0082850	6-phosphogluconate dehydrogenase family protein;glyoxylate reductase 2 (GLYR2)	OsGLYR1, OsGR1, GR1;OsGLYR2, OsGR2, GR2
QOZ80_1BG0082860	LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1 (LOS1);Ribosomal protein S5/Elongation factor G/III/V family protein	
QOZ80_1BG0082870	BARELY ANY MERISTEM 1 (BAM1);BARELY ANY MERISTEM 2 (BAM2);HAESA-like 1 (HSL1);Protein kinase family protein with leucine-rich repeat domain	OsASLRK
QOZ80_1BG0082880	hexokinase 1 (HXK1);hexokinase 2 (HXK2);hexokinase 3 (HXK3);hexokinase-like 1 (HKL1)	OsHXK2;OsHXK5;OsHXK6;OsHXK7, OsHXK8;OsHXK9
QOZ80_1BG0082900	IQ-domain 19 (IQD19);IQ-domain 25 (IQD25);IQ-domain 26 (IQD26)	OsGW5L
QOZ80_1BG0082910	Pectin lyase-like superfamily protein;QUARTET 1 (QRT1)	OsPME15;OsPME18;OsPME20, OsEnS-109;OsPME5
QOZ80_1BG0082920	ALTERED MERISTEM PROGRAM 1 (AMP1);Peptidase M28 family protein;protease-associated (PA) domain-containing protein	go, go1, pla3, PLA3, PLA3/GO, OsLBD3-7, LBD3-7, OsLBD25, LBD25
QOZ80_1BG0082930	ovule abortion 4 (OVA4)	
QOZ80_1BG0082940	NADP-malic enzyme 1 (NADP-ME1);NADP-malic enzyme 2 (NADP-ME2);NADP-malic enzyme 3 (NADP-ME3);NADP-malic enzyme 4 (NADP-ME4)	NADP-ME, ME6, OschlME, chlME, XcrMal1;OscytME1, OsNADP-ME2-3, NADP-ME2-3;OscytME2, cytME2;OscytME3, OsEnS-13, NADP-ME, OsNADP-ME
QOZ80_1BG0082950	ATP-dependent protease La (LON) domain protein	OsEnS-14
QOZ80_1BG0082970	NADP-malic enzyme 1 (NADP-ME1);NADP-malic enzyme 2 (NADP-ME2);NADP-malic enzyme 3 (NADP-ME3);NADP-malic enzyme 4 (NADP-ME4)	OscytME1, OsNADP-ME2-3, NADP-ME2-3;OscytME2, cytME2;OscytME3, OsEnS-13, NADP-ME, OsNADP-ME
QOZ80_1BG0082980	histidine-containing phosphotransfer factor 5 (AHP5);histidine-containing phosphotransmitter 2 (AHP2);histidine-containing phosphotransmitter 3 (AHP3);HPT phosphotransmitter 4 (AHP4)	OsPHP1, Hpt1, OsHP3, sHP3, OsHpt1;OsPHP2, Hpt4, OsHP5, HP5, OsHpt4, OsHP05;OsPHP3, Hpt5, OsHP4, HP4, OsHpt5, OsHpt5a, OsHpt5b, OsHpt5c
QOZ80_1BG0082990	downstream target of AGL15-4 (DTA4)	
QOZ80_1BG0083000	Protein kinase family protein	
QOZ80_1BG0083010	golgin candidate 1 (GC1)	
QOZ80_1BG0083020	GATA transcription factor 12 (GATA12);GATA transcription factor 2 (GATA2);GATA transcription factor 4 (GATA4);GATA transcription factor 5 (GATA5);GATA transcription factor 9 (GATA9)	OsGATA1, OsGATA6, GATA6;OsGATA3, GATA3;OsGATA5;OsGATA6, OsGATA1, GATA1;OsGATA7
QOZ80_1BG0083030	CONTAINS InterPro DOMAIN/s: Nuclear pore complex protein, Nucleoporin Nup85-like (InterPro:IPR011502)	NUP85
QOZ80_1BG0083040	staurosporin and temperature sensitive 3-like A (STT3A);staurosporin and temperature sensitive 3-like b (STT3B)	Stt3a, STT3
QOZ80_1BG0083050	casein lytic proteinase B2 (CLPB2);casein lytic proteinase B3 (CLPB3);casein lytic proteinase B4 (CLPB4);heat shock protein 101 (HSP101)	ClpB-c, OsClpB-c, OsFLO24, HSP101, OsHSP101;ClpB-m, OsClpB-m;Oshsp101, OsHSP101, ClpB-cyt, OsClpB-cyt, ClpB-C/Hsp100, OsClpB-C, Hsp101-1, OsHsp101-1
QOZ80_1BG0083090	carotenoid cleavage dioxygenase 8 (CCD8);nine-cis-epoxycarotenoid dioxygenase 3 (NCED3);nine-cis-epoxycarotenoid dioxygenase 4 (NCED4);nine-cis-epoxycarotenoid dioxygenase 5 (NCED5)	OsCCD8a, OsCCD8c, CCD8a, CCD8c;OSNCED1, OsNCED-1, OsNCED3, OsNced3, NCED3, OsNCED9, NCED9;OSNCED2, OsNCED2, OsNCED5, NCED5;OSNCED3, OsNCED-3, OsNCED3, OsNCED3a, NCED3a, OsNCED4, NCED4, OsNECD2, OsNCED2b, NCED2b
QOZ80_1BG0083100	carotenoid cleavage dioxygenase 8 (CCD8)	OsCCD8a, OsCCD8c, CCD8a, CCD8c;OSNCED3, OsNCED-3, OsNCED3, OsNCED3a, NCED3a, OsNCED4, NCED4, OsNECD2, OsNCED2b, NCED2b
QOZ80_1BG0083110	carotenoid cleavage dioxygenase 8 (CCD8)	OsCCD8a, OsCCD8c, CCD8a, CCD8c
QOZ80_1BG0083120	Glycosyl hydrolase superfamily protein	
QOZ80_1BG0083130	Protein of unknown function (DUF506) 	OsDUF50601;OsDUF50605;OsDUF50606;OsDUF50608
QOZ80_1BG0083140	high leaf temperature 1 (HT1);Protein kinase superfamily protein	
QOZ80_1BG0083150	pyrimidin 4 (PYR4)	
QOZ80_1BG0083160	pentatricopeptide (PPR) repeat-containing protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
QOZ80_1BG0083170	RNA-binding S4 domain-containing protein	
QOZ80_1BG0083180	VQ motif-containing protein	OsVQ21;OsVQ3
QOZ80_1BG0083190	ACCUMULATION AND REPLICATION OF CHLOROPLAST 5 (ARC5);Dynamin related protein 5A (DRP5A)	OsARC5, Os ARC5, OsDRP5B, DRP5B;OsDRP4A;OsDRP5A
QOZ80_1BG0083210	unknown protein	
QOZ80_1BG0083240	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP24;OsGELP25;OsGELP67, OsGELP67a, OsGELP67b;OsGELP73;OsGELP95
QOZ80_1BG0083250	Integrin-linked protein kinase family	
QOZ80_1BG0083260	FLOWERING LOCUS T (FT);PEBP (phosphatidylethanolamine-binding protein) family protein;TERMINAL FLOWER 1 (TFL1);TWIN SISTER OF FT (TSF)	FT-L 3, OsFTL3, FTL3, FT-L3, RFT, OsRFT1;FTL, FT-L1, OsFTL1, FTL1;Hd3a, FT, qHD3(t)*, FT-L 2, OsFTL2, FT-L2, FTL2, OsHd3a;OsFTL10;OsFTL9, OsFT-L9, FT-L9, OsFTL9, FTL9
QOZ80_1BG0083270	constitutively activated cell death 1 (CAD1);MAC/Perforin domain-containing protein;necrotic spotted lesions 1 (NSL1)	OsCAD1, CAD1
QOZ80_1BG0083280	Major facilitator superfamily protein;nitrate transporter 1:2 (NRT1:2)	OsNRT1.2;PTR;PTR, OsNPF4.5;sp, SP, OsNPF4.1, NPF4.1, OsSP1, BPB1, OsBPB1
QOZ80_1BG0083290	FUNCTIONS IN: molecular_function unknown;Protein of unknown function (DUF1264)	OsSTA32
QOZ80_1BG0083320	ASY2;ASYNAPTIC 1 (ASY1)	OsSTA288
QOZ80_1BG0083330	Protein of unknown function (DUF616)	
QOZ80_1BG0083340	embryo defective 1473 (emb1473);Ribosomal protein L13 family protein	cp rpl13, cp RPL13, OsWLP1, RPL13, OsRPL13, OsPRPL13, PRPL13;mt rpl13, mt RPL13
QOZ80_1BG0083350	AT-HSFA5;heat shock factor 1 (HSF1);heat shock transcription factor  A4A (HSF A4A);ROOT HANDEDNESS 1 (RHA1)	HSfA2b, OsHsfA2b, OsHsf-18, rHsf5, HS1, HSF18, OsHSF18, HSF5, OsHSF5;HSfA5, OsHsfA5, OsHsf-06, HSF06, OsHSF6, HSF6;OsHsfA1, HsfA1, OsHSF13, HSF13, OsHsf-13, HSF3, rHsf3, OsHsfA1a;OsHsfA4a, OsHsf-04, HSFA4B, HSF04, OsHSF4, HSF4, HSF9, OsHsfA4b, OsHSF9;spl7, HSFA4D, HSF10, HSF15, OsHSF15, SP17, OsHsf-15, rHsf10, OsHsfA4d, HSfA4d, lrd13, HSF1
QOZ80_1BG0083360	trehalose phosphatase/synthase 5 (TPS5);trehalose-phosphatase/synthase 7 (TPS7)	OsTPS2;OsTPS3;OsTPS6
QOZ80_1BG0083380	nodulin MtN21 /EamA-like transporter family protein;Nucleotide/sugar transporter family protein	
QOZ80_1BG0083390	HXXXD-type acyl-transferase family protein;hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase (HCT);spermidine hydroxycinnamoyl transferase (SHT)	OsACT;Os-AHT1, OsAHT1;OsAHT2;OsAT4c, AT4c, OsPHT4, PHT4;Os-PHT3, OsPHT3
QOZ80_1BG0083410	WRKY22;WRKY DNA-binding protein 65 (WRKY65);WRKY DNA-binding protein 69 (WRKY69)	OsWRKY13;OsWRKY14;OsWRKY2;OsWRKY37;OsWRKY39
QOZ80_1BG0083430	cellulose synthase A4 (CESA4);CONSTITUTIVE EXPRESSION OF VSP 1 (CEV1);IRREGULAR XYLEM 1 (IRX1);IRREGULAR XYLEM 3 (IRX3)	Bc6*, Bc6, OsCesA9, CESA9, OsCESA9, OS_CESA09, OsCesA 9, CesA9, BC88, SDBC1, OsSDBC1;OsCesA1, OsCesA-1, OsCESA1, OS_CESA01, CesA1;OsCesA2, OsCESA2, OS_CESA02;OsCesA4, OsCESA4, CESA4, OS_CESA04, BC11, bc7t, Bc7(t), bc-7, OsCesA 4, CesA4, FC17/CESA4, FC17, OsFC17;OsCesA8, OsCESA8, OS_CESA08, CesA8
QOZ80_1BG0083440	GASSHO 2 (GSO2);Leucine-rich repeat (LRR) family protein;PEP1 receptor 2 (PEPR2);receptor like protein 51 (RLP51);receptor like protein 55 (RLP55)	
QOZ80_1BG0083450	unknown protein	
QOZ80_1BG0083460	RAB GTPase homolog G3C (RABG3c);RAB GTPase homolog G3D (RABG3d);RAB GTPase homolog  G3E (RABG3E);RAB GTPase homolog G3F (RAB7B)	OsRab7A1;OsRab7A2;OsRab7B1, Rab7B1, OsRab7;OsRab7B3, Rab7B3, OsRab7, Rab7
QOZ80_1BG0083470	proline extensin-like receptor kinase 1 (PERK1);Protein kinase superfamily protein	OsPERK1;OsPERK2;OsPERK3;OsPERK4;OsSTA174, RHS10, OsPERK6, PERK6
QOZ80_1BG0083490	unknown protein	
QOZ80_1BG0083510	alpha/beta-Hydrolases superfamily protein;Lipase class 3-related protein	OsTHIS1, CHA-1, OsCHA-1
QOZ80_1BG0083530	ATP-dependent caseinolytic (Clp) protease/crotonase family protein;beta-hydroxyisobutyryl-CoA hydrolase 1 (CHY1)	OsNOG1
QOZ80_1BG0083540	60S ribosomal protein L18A-1 (RPL18AA);Ribosomal protein L18ae/LX family protein	OsRPL18A;rpl18a, RPL18a, OsRPL18a
QOZ80_1BG0083550	ethylene response factor 1 (ERF1);ethylene-responsive element binding factor 13 (ERF13);ethylene responsive element binding factor 1 (ERF-1);ethylene responsive element binding factor 2 (ERF2);Integrase-type DNA-binding superfamily protein	DERF12, OsDERF12, OsERF#096, OsERF096, OsERF96, AP2/EREBP#116, AP2/EREBP116, OsAP2, OsAP2.1, OsAP2.2, OsERF36;OsERF#091, OsERF091, OsERF91, AP59, OsAP59, AP2/EREBP#147, AP2/EREBP147, OsBIERF3, BIERF3, OsERF3;OsERF#092, OsERF092, OsERF92, ERF922, OsERF922, AP2/EREBP#078, AP2/EREBP78;OsERF#123, OsERF123, AP2/EREBP#066, AP2/EREBP66;OsERF1, ERF1, OsERF#093, OsERF093, OsERF93, AP2/EREBP#168, AP2/EREBP168
QOZ80_1BG0083570	transferases, transferring glycosyl groups	
QOZ80_1BG0083580	elongation factor family protein	
QOZ80_1BG0083590	CONTAINS InterPro DOMAIN/s: Casein kinase substrate, phosphoprotein PP28 (InterPro:IPR019380)	
QOZ80_1BG0083600	vascular plant one zinc finger protein (VOZ1)	OsEIP8, OsVOZ1, VOZ1;OsVOZ2
QOZ80_1BG0083610	GroES-like zinc-binding alcohol dehydrogenase family protein;oxidoreductase, zinc-binding dehydrogenase family protein;Oxidoreductase, zinc-binding dehydrogenase family protein	OsRNG3
QOZ80_1BG0083620	Optic atrophy 3 protein (OPA3)	
QOZ80_1BG0083630	Nuclear transport factor 2 (NTF2) family protein	
QOZ80_1BG0083640	O-methyltransferase 1 (OMT1);O-methyltransferase family protein	OsASMT11, OsCOMT17, COMT17;OsASMT18, OsCOMT30, COMT30;OsASMT1, ASMT1, OsCOMT1;OsASMT8, OsCOMT13, COMT13;ZRP4, OsASMT4, OsCOMT9, COMT9
QOZ80_1BG0083660	auxin response factor 2 (ARF2);auxin response factor 4 (ARF4);ETTIN (ETT)	OsARF14, OsETT4, ETT4, DLN153, OsDLN153, OsARF3la, ARF3la;OsARF2, ARF2, OsETT2, ARF3a, OsARF3a, DLN16, OsDLN16, ARF3;OsARF3, ETT3, Os ETT3, OsETT3, DLN20, OsDLN20, ARF4, OsARF3lb, ARF3lb
QOZ80_1BG0083690	Nucleic acid-binding, OB-fold-like protein	
QOZ80_1BG0083700	callose synthase 5 (CALS5);glucan synthase-like 12 (GSL12);glucan synthase-like 1 (GSL1);glucan synthase-like 5 (GSL05)	OsGSL10, CalS3-2, OsCalS3-2;OsGSL3, CalS12, OsCalS12, OsGSL12, GSL12;OsGSL5, OsSTA170, CalS5, OsCalS5
QOZ80_1BG0083710	Protein of unknown function (DUF1421)	
QOZ80_1BG0083720	Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
QOZ80_1BG0083760	AtL5 (ATL5);RING/U-box superfamily protein;TOXICOS EN LEVADURA 2 (ATL2)	OsNBIP1, OsRING163, RING163, OsC3HC4_010, C3HC4_010;OsRING260, OsC3HC4_025, C3HC4_025;OsRING264;OsRING265;OsRING53
QOZ80_1BG0083780	BZIP34;BZIP61	OsbZIP02, OsbZIP2, OsSTA8;OsbZIP06, OsbZIP6;OsbZIP19;RF2b, OsRF2B, OsbZIP30, bZIP30
QOZ80_1BG0083800	RNA-binding protein	OsRRM1-130;OsRRM1-65
QOZ80_1BG0083810	FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown	OsDFOT1
QOZ80_1BG0083820	K+ transporter 1 (KT1);potassium channel in Arabidopsis thaliana 1 (KAT1);potassium channel in Arabidopsis thaliana 2 (KAT2);Shaker pollen inward K+ channel (SPIK)	OsAKT1, Os-AKT1;OsKAT1, OsKAT3;OsKAT2;OsKAT3, OsKAT1, KAT1;OsSTA191, OsAKT3
QOZ80_1BG0083840	Arabidopsis thaliana gibberellin 2-oxidase 1 (ATGA2OX1);gibberellin 2-oxidase 3 (ATGA2OX3);gibberellin 2-oxidase 4 (GA2OX4);gibberellin 2-oxidase 6 (GA2OX6);gibberellin 2-oxidase (GA2OX2)	GA2OX4, OsGA2ox4, ga2ox 4, OsGA2ox-4, OsSBI;OsGA2ox1, ga2ox-1, OsGA2ox-1, ga2ox, ga2ox 1, GA2ox1;OsGA2ox3, ga2ox 3, OsGA2ox-3, GA2ox3, GA2ox-3, GA2ox4;OsGA2ox7;OsGA2ox8
QOZ80_1BG0083850	ECTOPIC ROOT HAIR 3 (ERH3);P-loop containing nucleoside triphosphate hydrolases superfamily protein;SUPPRESSOR OF K+ TRANSPORT GROWTH DEFECT1 (SKD1)	OsKTN60;OsSKD1, SKD1;SKD1
QOZ80_1BG0083860	SGS domain-containing protein	OsBHT, OsHsp20L, Hsp20L
QOZ80_1BG0083880	interactor of constitutive active rops 1 (ICR1);ROP interactive partner 2 (RIP2)	
